Unnamed: 0,Public company,Type,Income,Year
854,909,上半年收入,27.8亿港元,2008
855,907,上半年收入,65.4亿港元,2008
856,1195,上半年收入,49亿美元,2008
857,904,上半年收入,210万港元,2008
858,635,上半年收入,82.3亿元,2008
859,1228,上半年收入,24亿港元,2008
860,1213,上半年收入,6.222亿港元,2008
861,1206,上半年收入,12.9亿元,2008
862,868,上半年收入,136.3亿元,2008
863,1105,上半年收入,40.4亿元,2008
864,1104,上半年收入,318.1亿港元,2008
865,1217,上半年收入,11.9亿元,2008
866,1229,上半年收入,3.612亿元,2008
867,1230,上半年收入,62.9亿港元,2008
868,1059,上半年收入,33.7亿港元,2008
869,985,上半年收入,121.4亿港元,2008
870,882,上半年收入,492.8亿元,2008
871,1231,上半年收入,153.8亿元,2008
872,1232,上半年收入,33.5亿元,2008
873,865,上半年收入,396.1亿元,2008
874,1198,上半年收入,574亿元,2008
875,1186,上半年收入,136.9亿元,2008
876,900,上半年收入,52.3亿元,2008
877,1168,上半年收入,1034.3亿元,2008
878,1185,上半年收入,283.2亿港元,2008
879,1114,上半年收入,904.3亿元,2008
880,1176,上半年收入,47.9亿美元,2008
881,1169,上半年收入,328.7亿元,2008
882,1233,上半年收入,44.8亿美元,2008
883,1234,上半年收入,46.2亿元,2008
884,1172,上半年收入,307.9亿元,2008
885,974,上半年收入,379亿元,2008
886,1235,上半年收入,690.6亿元,2008
887,1236,上半年收入,14.2亿元,2008
888,951,上半年收入,122.7亿港元,2008
889,917,上半年收入,80亿港元,2008
890,919,上半年收入,1964.6亿元,2008
891,1209,上半年收入,54.7亿港元,2008
892,1152,上半年收入,621.6亿元,2008
893,997,上半年收入,183.8亿元,2008
894,1165,上半年收入,268.3亿元,2008
895,1201,上半年收入,176.5亿元,2008
896,860,上半年收入,257.6亿元,2008
897,1220,上半年收入,208.3亿元,2008
898,1179,上半年收入,91.5亿元,2008
899,912,上半年收入,351.4亿元,2008
900,1094,上半年收入,1.621亿美元,2008
901,1237,上半年收入,411.3亿元,2008
902,1238,上半年收入,123.8亿港元,2008
903,1154,上半年收入,347.8亿元,2008
904,1063,上半年收入,119.6亿元,2008
905,1153,上半年收入,21.8亿元,2008
906,1067,上半年收入,289.6亿元,2008
907,1181,上半年收入,104.3亿元,2008
908,1239,上半年收入,107亿元,2008
909,1140,上半年收入,113.7亿港元,2008
910,1162,上半年收入,124.4亿港元,2008
911,1163,上半年收入,762.2亿港元,2008
912,978,上半年收入,197.3亿元,2008
913,1221,上半年收入,77.9亿元,2008
914,1218,上半年收入,117.6亿港元,2008
915,893,上半年收入,107.2亿港元,2008
916,908,上半年收入,72.3亿港元,2008
917,866,上半年收入,274.5亿元,2008
918,1200,上半年收入,377.2亿元,2008
919,1159,上半年收入,40.4亿元,2008
920,1240,上半年收入,102亿元,2008
921,964,上半年收入,31.8亿港元,2008
922,944,上半年收入,473.9亿港元,2008
923,956,上半年收入,42.1亿港元,2008
924,1167,上半年收入,401.7亿元,2008
925,1222,上半年收入,32亿美元,2008
